ODE,Epsilon,N,Mesh,Method,Max Error
ODE 1,0.01,8,uniform,central,1.5623230082618516
ODE 1,0.01,8,uniform,forward,0.03846153844304604
ODE 1,0.01,8,uniform,backward,1.041666666676129
ODE 1,0.01,8,shishkin,central,0.04259178429230015
ODE 1,0.01,8,shishkin,forward,0.1624762261856832
ODE 1,0.01,8,shishkin,backward,1.0209790799251859
ODE 1,0.01,8,bakhvalov,central,0.010746757363049808
ODE 1,0.01,8,bakhvalov,forward,0.12032389846610586
ODE 1,0.01,8,bakhvalov,backward,0.8403540430928315
ODE 1,0.01,16,uniform,central,0.734054600117499
ODE 1,0.01,16,uniform,forward,0.074070347420902
ODE 1,0.01,16,uniform,backward,1.0869565217391313
ODE 1,0.01,16,shishkin,central,0.015172122605450977
ODE 1,0.01,16,shishkin,forward,0.10715175406970989
ODE 1,0.01,16,shishkin,backward,1.0429058317425854
ODE 1,0.01,16,bakhvalov,central,0.0026269005777518617
ODE 1,0.01,16,bakhvalov,forward,0.06439719106552505
ODE 1,0.01,16,bakhvalov,backward,0.11026214723888594
ODE 1,0.01,32,uniform,central,0.5170819702047559
ODE 1,0.01,32,uniform,forward,0.13600058034653092
ODE 1,0.01,32,uniform,backward,1.190476190476193
ODE 1,0.01,32,shishkin,central,0.005825108457558292
ODE 1,0.01,32,shishkin,forward,0.06871581385333697
ODE 1,0.01,32,shishkin,backward,1.0903604958118307
ODE 1,0.01,32,bakhvalov,central,0.0006536683492896489
ODE 1,0.01,32,bakhvalov,forward,0.033606846770713794
ODE 1,0.01,32,bakhvalov,backward,0.03104561384398835
ODE 1,0.01,64,uniform,central,0.26344912874535864
ODE 1,0.01,64,uniform,forward,0.198487308800835
ODE 1,0.01,64,uniform,backward,1.4705882352941144
ODE 1,0.01,64,shishkin,central,0.0020847445962354216
ODE 1,0.01,64,shishkin,forward,0.04354290942033401
ODE 1,0.01,64,shishkin,backward,1.200397998191013
ODE 1,0.01,64,bakhvalov,central,0.0001629146487587274
ODE 1,0.01,64,bakhvalov,forward,0.017193995403549378
ODE 1,0.01,64,bakhvalov,backward,0.15727807101692473
ODE 1,0.01,128,uniform,central,0.08680436960723815
ODE 1,0.01,128,uniform,forward,0.18063251528792648
ODE 1,0.01,128,uniform,backward,0.772111387151098
ODE 1,0.01,128,shishkin,central,0.0007052505548666432
ODE 1,0.01,128,shishkin,forward,0.02630102819797564
ODE 1,0.01,128,shishkin,backward,1.5067462997201237
ODE 1,0.01,128,bakhvalov,central,4.068999218787006e-05
ODE 1,0.01,128,bakhvalov,forward,0.008695656900244986
ODE 1,0.01,128,bakhvalov,backward,0.03205999924121142
ODE 1,0.01,256,uniform,central,0.019631114580603126
ODE 1,0.01,256,uniform,forward,0.10556251251033646
ODE 1,0.01,256,uniform,backward,0.23908336177161424
ODE 1,0.01,256,shishkin,central,0.00023014919444702686
ODE 1,0.01,256,shishkin,forward,0.015392277504891694
ODE 1,0.01,256,shishkin,backward,0.016542036575580676
ODE 1,0.01,256,bakhvalov,central,1.0172578536971066e-05
ODE 1,0.01,256,bakhvalov,forward,0.004374892999932156
ODE 1,0.01,256,bakhvalov,backward,0.03492053044104886
ODE 1,0.01,512,uniform,central,0.004688938798878994
ODE 1,0.01,512,uniform,forward,0.06206626344696359
ODE 1,0.01,512,uniform,backward,0.08649547114661366
ODE 1,0.01,512,shishkin,central,7.281707276179938e-05
ODE 1,0.01,512,shishkin,forward,0.008787782225656071
ODE 1,0.01,512,shishkin,backward,0.009151822994597492
ODE 1,0.01,512,bakhvalov,central,6.476455902238684e-06
ODE 1,0.01,512,bakhvalov,forward,0.002196392897914623
ODE 1,0.01,512,bakhvalov,backward,0.04422290534824416
ODE 1,0.001,8,uniform,central,15.513883557456568
ODE 1,0.001,8,uniform,forward,0.00398406374501992
ODE 1,0.001,8,uniform,backward,1.0040160642570277
ODE 1,0.001,8,shishkin,central,0.044305764364669986
ODE 1,0.001,8,shishkin,forward,0.1643359340602389
ODE 1,0.001,8,shishkin,backward,1.0020081933625737
ODE 1,0.001,8,bakhvalov,central,0.010749973421587455
ODE 1,0.001,8,bakhvalov,forward,0.12052781504072224
ODE 1,0.001,8,bakhvalov,backward,0.9979961455795728
ODE 1,0.001,16,uniform,central,3.912290010326755
ODE 1,0.001,16,uniform,forward,0.007936507936507938
ODE 1,0.001,16,uniform,backward,1.0080645161290325
ODE 1,0.001,16,shishkin,central,0.01660410722609279
ODE 1,0.001,16,shishkin,forward,0.10820225333252942
ODE 1,0.001,16,shishkin,backward,1.0040272750807084
ODE 1,0.001,16,bakhvalov,central,0.0026271224966041284
ODE 1,0.001,16,bakhvalov,forward,0.06442145089993828
ODE 1,0.001,16,bakhvalov,backward,0.931903400967917
ODE 1,0.001,32,uniform,central,1.224761695420708
ODE 1,0.001,32,uniform,forward,0.015748031496062992
ODE 1,0.001,32,uniform,backward,1.0162601626016254
ODE 1,0.001,32,shishkin,central,0.0061287140189533185
ODE 1,0.001,32,shishkin,forward,0.06907860261396076
ODE 1,0.001,32,shishkin,backward,1.0080927897920824
ODE 1,0.001,32,bakhvalov,central,0.0006554941110668011
ODE 1,0.001,32,bakhvalov,forward,0.033612144130497956
ODE 1,0.001,32,bakhvalov,backward,0.9640717644999058
ODE 1,0.001,64,uniform,central,0.8802139993725826
ODE 1,0.001,64,uniform,forward,0.03100775193795769
ODE 1,0.001,64,uniform,backward,1.0330578512396686
ODE 1,0.001,64,shishkin,central,0.002104045577993874
ODE 1,0.001,64,shishkin,forward,0.043641625800107
ODE 1,0.001,64,shishkin,backward,1.016329178015041
ODE 1,0.001,64,bakhvalov,central,0.00016936858060653814
ODE 1,0.001,64,bakhvalov,forward,0.017195561509015744
ODE 1,0.001,64,bakhvalov,backward,1.0330672652068618
ODE 1,0.001,128,uniform,central,0.7730498091277928
ODE 1,0.001,128,uniform,forward,0.06015021220213656
ODE 1,0.001,128,uniform,backward,1.0683760683760688
ODE 1,0.001,128,shishkin,central,0.0007052608708527641
ODE 1,0.001,128,shishkin,forward,0.026329455463368456
ODE 1,0.001,128,shishkin,backward,1.0332243855939223
ODE 1,0.001,128,bakhvalov,central,3.9348207565459425e-05
ODE 1,0.001,128,bakhvalov,forward,0.008696110520021616
ODE 1,0.001,128,bakhvalov,backward,1.0683759972586482
ODE 1,0.001,256,uniform,central,0.5927613330674156
ODE 1,0.001,256,uniform,forward,0.11307053213563825
ODE 1,0.001,256,uniform,backward,1.146788990825688
ODE 1,0.001,256,shishkin,central,0.0002301491944372014
ODE 1,0.001,256,shishkin,forward,0.015399660139038429
ODE 1,0.001,256,shishkin,backward,1.0687835651567412
ODE 1,0.001,256,bakhvalov,central,1.016367498357651e-05
ODE 1,0.001,256,bakhvalov,forward,0.004375089525557929
ODE 1,0.001,256,bakhvalov,backward,1.146788990665728
ODE 1,0.001,512,uniform,central,0.3428671167780639
ODE 1,0.001,512,uniform,forward,0.18370586202421454
ODE 1,0.001,512,uniform,backward,1.3440860215053796
ODE 1,0.001,512,shishkin,central,7.281707272388527e-05
ODE 1,0.001,512,shishkin,forward,0.008789530849820426
ODE 1,0.001,512,shishkin,backward,1.1478467142092545
ODE 1,0.001,512,bakhvalov,central,6.609720655630795e-06
ODE 1,0.001,512,bakhvalov,forward,0.0021965294735190044
ODE 1,0.001,512,bakhvalov,backward,1.3440860191978263
ODE 1,0.0001,8,uniform,central,156.12639887552356
ODE 1,0.0001,8,uniform,forward,0.0003998400639744103
ODE 1,0.0001,8,uniform,backward,1.0004001600640262
ODE 1,0.0001,8,shishkin,central,0.04450285104356966
ODE 1,0.0001,8,shishkin,forward,0.16452844570006203
ODE 1,0.0001,8,shishkin,backward,1.0002000816263656
ODE 1,0.0001,8,bakhvalov,central,0.010750284968284618
ODE 1,0.0001,8,bakhvalov,forward,0.12054784082419362
ODE 1,0.0001,8,bakhvalov,backward,0.9997383571833922
ODE 1,0.0001,16,uniform,central,39.006988452929654
ODE 1,0.0001,16,uniform,forward,0.0007993605115907274
ODE 1,0.0001,16,uniform,backward,1.0008006405124104
ODE 1,0.0001,16,shishkin,central,0.016858791225688896
ODE 1,0.0001,16,shishkin,forward,0.1083154113568921
ODE 1,0.0001,16,shishkin,backward,1.0004002710853692
ODE 1,0.0001,16,bakhvalov,central,0.0026271436894688416
ODE 1,0.0001,16,bakhvalov,forward,0.06442380089076982
ODE 1,0.0001,16,bakhvalov,backward,0.9992617388017087
ODE 1,0.0001,32,uniform,central,9.765252471140743
ODE 1,0.0001,32,uniform,forward,0.001597444089456869
ODE 1,0.0001,32,uniform,backward,1.001602564102564
ODE 1,0.0001,32,shishkin,central,0.006308870534117161
ODE 1,0.0001,32,shishkin,forward,0.06912059306297119
ODE 1,0.0001,32,shishkin,backward,1.000800918310235
ODE 1,0.0001,32,bakhvalov,central,0.0006557365752381528
ODE 1,0.0001,32,bakhvalov,forward,0.033612654061174585
ODE 1,0.0001,32,bakhvalov,backward,1.0030419518736289
ODE 1,0.0001,64,uniform,central,2.5536615176013364
ODE 1,0.0001,64,uniform,forward,0.0031897926634768745
ODE 1,0.0001,64,uniform,backward,1.0032102728731942
ODE 1,0.0001,64,shishkin,central,0.0022078069637340714
ODE 1,0.0001,64,shishkin,forward,0.043654612390911895
ODE 1,0.0001,64,shishkin,backward,1.0016032318781423
ODE 1,0.0001,64,bakhvalov,central,0.00017209672445062107
ODE 1,0.0001,64,bakhvalov,forward,0.01719571205961018
ODE 1,0.0001,64,bakhvalov,backward,1.0032103048064136
ODE 1,0.0001,128,uniform,central,1.0521770184117982
ODE 1,0.0001,128,uniform,forward,0.006359300476947536
ODE 1,0.0001,128,uniform,backward,1.0064412238325284
ODE 1,0.0001,128,shishkin,central,0.0007225327317650354
ODE 1,0.0001,128,shishkin,forward,0.026334087643406168
ODE 1,0.0001,128,shishkin,backward,1.0032118358644968
ODE 1,0.0001,128,bakhvalov,central,3.533457826243591e-05
ODE 1,0.0001,128,bakhvalov,forward,0.008696153939421136
ODE 1,0.0001,128,bakhvalov,backward,1.0064412238402745
ODE 1,0.0001,256,uniform,central,0.9500819515480969
ODE 1,0.0001,256,uniform,forward,0.01263823064770932
ODE 1,0.0001,256,uniform,backward,1.012965964343598
ODE 1,0.0001,256,shishkin,central,0.0002305183653521503
ODE 1,0.0001,256,shishkin,forward,0.015401322082585933
ODE 1,0.0001,256,shishkin,backward,1.0064448200942313
ODE 1,0.0001,256,bakhvalov,central,9.75687739730536e-06
ODE 1,0.0001,256,bakhvalov,forward,0.004375108288314056
ODE 1,0.0001,256,bakhvalov,backward,1.0129659645487754
ODE 1,0.0001,512,uniform,central,0.9025875190258774
ODE 1,0.0001,512,uniform,forward,0.024960998439937584
ODE 1,0.0001,512,uniform,backward,1.026272577996717
ODE 1,0.0001,512,shishkin,central,7.281707761835898e-05
ODE 1,0.0001,512,shishkin,forward,0.00879013781905802
ODE 1,0.0001,512,shishkin,backward,1.0129741551573688
ODE 1,0.0001,512,bakhvalov,central,7.133122950852259e-06
ODE 1,0.0001,512,bakhvalov,forward,0.002196542504110055
ODE 1,0.0001,512,bakhvalov,backward,1.0262725776975652
ODE 1,1e-05,8,uniform,central,1562.3751399887958
ODE 1,1e-05,8,uniform,forward,3.999840006399744e-05
ODE 1,1e-05,8,uniform,backward,1.0000400016000628
ODE 1,1e-05,8,shishkin,central,0.04452283930347262
ODE 1,1e-05,8,shishkin,forward,0.16454776460341863
ODE 1,1e-05,8,shishkin,backward,1.0000200008183828
ODE 1,1e-05,8,bakhvalov,central,0.010750316025536777
ODE 1,1e-05,8,bakhvalov,forward,0.12054983981003264
ODE 1,1e-05,8,bakhvalov,backward,0.9997556844744246
ODE 1,1e-05,16,uniform,central,390.5631998876521
ODE 1,1e-05,16,uniform,forward,7.999360051195905e-05
ODE 1,1e-05,16,uniform,backward,1.0000800064005138
ODE 1,1e-05,16,shishkin,central,0.016885850293047094
ODE 1,1e-05,16,shishkin,forward,0.10832681455973153
ODE 1,1e-05,16,shishkin,backward,1.0000400027108192
ODE 1,1e-05,16,bakhvalov,central,0.0026271457992183
ODE 1,1e-05,16,bakhvalov,forward,0.06442403515394063
ODE 1,1e-05,16,bakhvalov,backward,0.9999775130067488
ODE 1,1e-05,32,uniform,central,97.62809898458052
ODE 1,1e-05,32,uniform,forward,0.00015997440409534473
ODE 1,1e-05,32,uniform,backward,1.0001600256040903
ODE 1,1e-05,32,shishkin,central,0.00633182691530787
ODE 1,1e-05,32,shishkin,forward,0.06912485831038195
ODE 1,1e-05,32,shishkin,backward,1.0000800091716318
ODE 1,1e-05,32,bakhvalov,central,0.0006557616108812669
ODE 1,1e-05,32,bakhvalov,forward,0.03361270486362161
ODE 1,1e-05,32,bakhvalov,backward,1.0003100311298652
ODE 1,1e-05,64,uniform,central,24.41144764851259
ODE 1,1e-05,64,uniform,forward,0.00031989763275751764
ODE 1,1e-05,64,uniform,backward,1.0003201024327781
ODE 1,1e-05,64,shishkin,central,0.002232733125128783
ODE 1,1e-05,64,shishkin,forward,0.04365595214650808
ODE 1,1e-05,64,shishkin,backward,1.00016003224451
ODE 1,1e-05,64,bakhvalov,central,0.0001724249384157106
ODE 1,1e-05,64,bakhvalov,forward,0.017195727056735388
ODE 1,1e-05,64,bakhvalov,backward,1.0003201025285064
ODE 1,1e-05,128,uniform,central,6.14887760615429
ODE 1,1e-05,128,uniform,forward,0.0006395906619763353
ODE 1,1e-05,128,uniform,backward,1.000640409862312
ODE 1,1e-05,128,shishkin,central,0.0007413901622029817
ODE 1,1e-05,128,shishkin,forward,0.026334580188119017
ODE 1,1e-05,128,shishkin,backward,1.0003201180164143
ODE 1,1e-05,128,bakhvalov,central,3.455750476782926e-05
ODE 1,1e-05,128,bakhvalov,forward,0.008696158262770981
ODE 1,1e-05,128,bakhvalov,backward,1.0006404098169632
ODE 1,1e-05,256,uniform,central,1.7313274724976886
