ODE,Epsilon,N,Mesh,Method,Max Error
ODE 2,0.01,8,uniform,central,0.38161525023616694
ODE 2,0.01,8,uniform,forward,21.493199339401553
ODE 2,0.01,8,uniform,backward,21.49319933940157
ODE 2,0.01,8,uniform,upwind,0.038466005186770715
ODE 2,0.01,8,shishkin,central,0.015386061094428251
ODE 2,0.01,8,shishkin,forward,11.563699698113298
ODE 2,0.01,8,shishkin,backward,11.563699698113272
ODE 2,0.01,8,shishkin,upwind,0.18458172147479257
ODE 2,0.01,8,bakhvalov,central,0.20809991614047035
ODE 2,0.01,8,bakhvalov,forward,28.511575864983712
ODE 2,0.01,8,bakhvalov,backward,28.511575864983698
ODE 2,0.01,8,bakhvalov,upwind,0.2673445655379807
ODE 2,0.01,16,uniform,central,0.3679059409485936
ODE 2,0.01,16,uniform,forward,49.309370060453055
ODE 2,0.01,16,uniform,backward,49.309370060453084
ODE 2,0.01,16,uniform,upwind,0.07406594917998642
ODE 2,0.01,16,shishkin,central,0.12225880829037837
ODE 2,0.01,16,shishkin,forward,19.47525933864091
ODE 2,0.01,16,shishkin,backward,19.47525933864094
ODE 2,0.01,16,shishkin,upwind,0.20170953484557252
ODE 2,0.01,16,bakhvalov,central,0.2188370305214366
ODE 2,0.01,16,bakhvalov,forward,15.494065695579184
ODE 2,0.01,16,bakhvalov,backward,15.494065695578808
ODE 2,0.01,16,bakhvalov,upwind,0.1748382208563642
ODE 2,0.01,32,uniform,central,0.17241162197752088
ODE 2,0.01,32,uniform,forward,1904.6303095358655
ODE 2,0.01,32,uniform,backward,1904.6303095359747
ODE 2,0.01,32,uniform,upwind,0.13558419910421257
ODE 2,0.01,32,shishkin,central,0.21430234510908336
ODE 2,0.01,32,shishkin,forward,109.88612245826258
ODE 2,0.01,32,shishkin,backward,109.88612245826243
ODE 2,0.01,32,shishkin,upwind,0.18657995381716055
ODE 2,0.01,32,bakhvalov,central,0.24122475724654688
ODE 2,0.01,32,bakhvalov,forward,3.2766632120258543
ODE 2,0.01,32,bakhvalov,backward,3.276663212024634
ODE 2,0.01,32,bakhvalov,upwind,0.0976691958898521
ODE 2,0.01,64,uniform,central,0.08611159009609193
ODE 2,0.01,64,uniform,forward,91.20021146257325
ODE 2,0.01,64,uniform,backward,91.20021146257307
ODE 2,0.01,64,uniform,upwind,0.19628871080981228
ODE 2,0.01,64,shishkin,central,0.22793527386357415
ODE 2,0.01,64,shishkin,forward,0.3843801326415997
ODE 2,0.01,64,shishkin,backward,0.3843801326416023
ODE 2,0.01,64,shishkin,upwind,0.13479749527176343
ODE 2,0.01,64,bakhvalov,central,0.24251624417380324
ODE 2,0.01,64,bakhvalov,forward,0.06336212078565175
ODE 2,0.01,64,bakhvalov,backward,0.06336212078547689
ODE 2,0.01,64,bakhvalov,upwind,0.0513331627247392
ODE 2,0.01,128,uniform,central,0.2234900022842682
ODE 2,0.01,128,uniform,forward,0.7502717384109664
ODE 2,0.01,128,uniform,backward,0.7502717384109663
ODE 2,0.01,128,uniform,upwind,0.17805810152805787
ODE 2,0.01,128,shishkin,central,0.23878458692628407
ODE 2,0.01,128,shishkin,forward,0.14908295330070348
ODE 2,0.01,128,shishkin,backward,0.14908295330070392
ODE 2,0.01,128,shishkin,upwind,0.08886087535638598
ODE 2,0.01,128,bakhvalov,central,0.24272532841116695
ODE 2,0.01,128,bakhvalov,forward,0.029654443799008168
ODE 2,0.01,128,bakhvalov,backward,0.029654443799008112
ODE 2,0.01,128,bakhvalov,upwind,0.02726334281999304
ODE 2,0.01,256,uniform,central,0.23704921348060096
ODE 2,0.01,256,uniform,forward,0.2343791768083401
ODE 2,0.01,256,uniform,backward,0.23437917680834003
ODE 2,0.01,256,uniform,upwind,0.10407176640162116
ODE 2,0.01,256,shishkin,central,0.24223615961943074
ODE 2,0.01,256,shishkin,forward,0.07339120926383069
ODE 2,0.01,256,shishkin,backward,0.07339120926382953
ODE 2,0.01,256,shishkin,upwind,0.05518131946102134
ODE 2,0.01,256,bakhvalov,central,0.24292552107091422
ODE 2,0.01,256,bakhvalov,forward,0.014701161598668355
ODE 2,0.01,256,bakhvalov,backward,0.014701161598664636
ODE 2,0.01,256,bakhvalov,upwind,0.014075743551834385
ODE 2,0.01,512,uniform,central,0.2402156650002691
ODE 2,0.01,512,uniform,forward,0.08510064781997889
ODE 2,0.01,512,uniform,backward,0.08510064781997878
ODE 2,0.01,512,uniform,upwind,0.061159012276863156
ODE 2,0.01,512,shishkin,central,0.2427602065518747
ODE 2,0.01,512,shishkin,forward,0.03852801056539079
ODE 2,0.01,512,shishkin,backward,0.03852801056539373
ODE 2,0.01,512,shishkin,upwind,0.03266598836371931
ODE 2,0.01,512,bakhvalov,central,0.24302346039153083
ODE 2,0.01,512,bakhvalov,forward,0.007268100194286475
ODE 2,0.01,512,bakhvalov,backward,0.007268100194280647
ODE 2,0.01,512,bakhvalov,upwind,0.007113345857705122
ODE 2,0.001,8,uniform,central,0.5419365211537636
ODE 2,0.001,8,uniform,forward,190.9498839132822
ODE 2,0.001,8,uniform,backward,190.94988391328224
ODE 2,0.001,8,uniform,upwind,0.003984064397641907
ODE 2,0.001,8,shishkin,central,0.03307157472869371
ODE 2,0.001,8,shishkin,forward,124.06592305438265
ODE 2,0.001,8,shishkin,backward,124.06592305438609
ODE 2,0.001,8,shishkin,upwind,0.18782545325092342
ODE 2,0.001,8,bakhvalov,central,0.2119404498169245
ODE 2,0.001,8,bakhvalov,forward,226.98274295890235
ODE 2,0.001,8,bakhvalov,backward,226.98274295888876
ODE 2,0.001,8,bakhvalov,upwind,0.28132795364843777
ODE 2,0.001,16,uniform,central,0.7147639642433227
ODE 2,0.001,16,uniform,forward,116.3385388732004
ODE 2,0.001,16,uniform,backward,116.33853887320052
ODE 2,0.001,16,uniform,upwind,0.007936507936508644
ODE 2,0.001,16,shishkin,central,0.11909317229602934
ODE 2,0.001,16,shishkin,forward,188.90803643117007
ODE 2,0.001,16,shishkin,backward,188.90803643116408
ODE 2,0.001,16,shishkin,upwind,0.20444056681737968
ODE 2,0.001,16,bakhvalov,central,0.22390572880918524
