ODE,Epsilon,N,Mesh,Method,Max Error
ODE 3,0.01,8,uniform,central,0.05745018067885843
ODE 3,0.01,8,uniform,forward,3.46123220784312
ODE 3,0.01,8,uniform,backward,3.4612322078431155
ODE 3,0.01,8,uniform,upwind,0.061346184482335975
ODE 3,0.01,8,shishkin,central,0.08182406015224464
ODE 3,0.01,8,shishkin,forward,0.3746458673782434
ODE 3,0.01,8,shishkin,backward,0.34594933610786
ODE 3,0.01,8,shishkin,upwind,0.08599322243610685
ODE 3,0.01,8,bakhvalov,central,0.27860805028329805
ODE 3,0.01,8,bakhvalov,forward,0.057668115583793644
ODE 3,0.01,8,bakhvalov,backward,2.39616565410201
ODE 3,0.01,8,bakhvalov,upwind,0.13382894332932704
ODE 3,0.01,16,uniform,central,0.012797579486601762
ODE 3,0.01,16,uniform,forward,0.0942202647814141
ODE 3,0.01,16,uniform,backward,0.09422026478141396
ODE 3,0.01,16,uniform,upwind,0.0384436955086096
ODE 3,0.01,16,shishkin,central,0.07012202065624906
ODE 3,0.01,16,shishkin,forward,0.6265236130621379
ODE 3,0.01,16,shishkin,backward,2.739014821256607
ODE 3,0.01,16,shishkin,upwind,1.8672013610691194
ODE 3,0.01,16,bakhvalov,central,0.08077490401728982
ODE 3,0.01,16,bakhvalov,forward,0.922519697863719
ODE 3,0.01,16,bakhvalov,backward,4.132766768727382
ODE 3,0.01,16,bakhvalov,upwind,0.07106058605599852
ODE 3,0.01,32,uniform,central,0.003084666971996622
ODE 3,0.01,32,uniform,forward,0.042797402606807866
ODE 3,0.01,32,uniform,backward,0.042797402606809476
ODE 3,0.01,32,uniform,upwind,0.021847625118540742
ODE 3,0.01,32,shishkin,central,0.0084853799167941
ODE 3,0.01,32,shishkin,forward,0.07353182464076902
ODE 3,0.01,32,shishkin,backward,0.06526680721421974
ODE 3,0.01,32,shishkin,upwind,0.03952161823940192
ODE 3,0.01,32,bakhvalov,central,0.011675716284761717
ODE 3,0.01,32,bakhvalov,forward,0.1019704708838507
ODE 3,0.01,32,bakhvalov,backward,0.08664902528163698
ODE 3,0.01,32,bakhvalov,upwind,0.04251147734975547
ODE 3,0.01,64,uniform,central,0.0007642597513106697
ODE 3,0.01,64,uniform,forward,0.021027024203084665
ODE 3,0.01,64,uniform,backward,0.021027024203085776
ODE 3,0.01,64,uniform,upwind,0.011690852667166629
ODE 3,0.01,64,shishkin,central,0.0015730731394144604
ODE 3,0.01,64,shishkin,forward,0.029537419865534376
ODE 3,0.01,64,shishkin,backward,0.029069989843699795
ODE 3,0.01,64,shishkin,upwind,0.01896525183443809
ODE 3,0.01,64,bakhvalov,central,0.0029656329664700665
ODE 3,0.01,64,bakhvalov,forward,0.040882592535726237
ODE 3,0.01,64,bakhvalov,backward,0.04287854420884585
ODE 3,0.01,64,bakhvalov,upwind,0.0231341170853383
ODE 3,0.01,128,uniform,central,0.00019079041057079582
ODE 3,0.01,128,uniform,forward,0.010438985940626422
ODE 3,0.01,128,uniform,backward,0.010438985940629975
ODE 3,0.01,128,uniform,upwind,0.006078916840928206
ODE 3,0.01,128,shishkin,central,0.0003069107572916119
ODE 3,0.01,128,shishkin,forward,0.01329327848173567
ODE 3,0.01,128,shishkin,backward,0.013178210619429032
ODE 3,0.01,128,shishkin,upwind,0.009081900529578468
ODE 3,0.01,128,bakhvalov,central,0.0013445609738647057
ODE 3,0.01,128,bakhvalov,forward,0.018670327913601847
ODE 3,0.01,128,bakhvalov,backward,0.021016818176424867
ODE 3,0.01,128,bakhvalov,upwind,0.0111673104700859
ODE 3,0.01,256,uniform,central,4.770715724061736e-05
ODE 3,0.01,256,uniform,forward,0.00520440020551638
ODE 3,0.01,256,uniform,backward,0.005204400205528648
ODE 3,0.01,256,uniform,upwind,0.00309670249599292
ODE 3,0.01,256,shishkin,central,6.260731717822043e-05
